term,category,definition,example or note,reference
"Alanine (Ala, A)",Amino acid,"A nonpolar amino acid with a small methyl side chain.","Hydrophobic; often used in alanine scanning.",""
"Valine (Val, V)",Amino acid,"A branched-chain hydrophobic amino acid.","One of the BCAAs.",""
"Leucine (Leu, L)",Amino acid,"A hydrophobic amino acid with a branched side chain.","Essential amino acid; BCAA.",""
"Isoleucine (Ile, I)",Amino acid,"A hydrophobic branched-chain amino acid with two chiral centers.","Essential amino acid; BCAA.",""
"Methionine (Met, M)",Amino acid,"A sulfur-containing hydrophobic amino acid.","Often the first amino acid in protein synthesis (AUG).",""
"Phenylalanine (Phe, F)",Aromatic amino acid,"An aromatic amino acid with a benzyl side chain.","Precursor of tyrosine.",""
"Tyrosine (Tyr, Y)",Aromatic amino acid,"An aromatic amino acid with a phenolic hydroxyl group.","Subject to phosphorylation.",""
"Tryptophan (Trp, W)",Aromatic amino acid,"A bulky aromatic amino acid with an indole ring.","Fluorescent properties; essential amino acid.",""
"Serine (Ser, S)",Polar amino acid,"A polar amino acid with a hydroxyl group.","Involved in enzyme active sites and phosphorylation.",""
"Threonine (Thr, T)",Polar amino acid,"A polar amino acid with two chiral centers.","Essential amino acid; can be phosphorylated.",""
"Asparagine (Asn, N)",Polar amino acid,"A polar amino acid with an amide side chain.","Subject to N-glycosylation.",""
"Glutamine (Gln, Q)",Polar amino acid,"A polar amino acid with an amide side chain derived from glutamate.","Nitrogen carrier in metabolism.",""
"Aspartic acid (Asp, D)",Charged amino acid,"A negatively charged amino acid at physiological pH.","Important in active sites.",""
"Glutamic acid (Glu, E)",Charged amino acid,"A negatively charged amino acid involved in metabolic pathways.","High abundance in proteins.",""
"Lysine (Lys, K)",Charged amino acid,"A positively charged amino acid with an ε-amino group.","Target of acetylation and ubiquitination.",""
"Arginine (Arg, R)",Charged amino acid,"A positively charged amino acid with a guanidinium group.","Key in DNA-binding proteins.",""
"Histidine (His, H)",Charged amino acid,"An amino acid with an imidazole ring that can be protonated near physiological pH.","Acts as a buffer; important in enzyme catalysis.",""
"Proline (Pro, P)",Special amino acid,"A cyclic amino acid that introduces kinks in polypeptide chains.","Disrupts α-helices.",""
"Glycine (Gly, G)",Special amino acid,"The smallest amino acid lacking a side chain.","Increases flexibility in proteins.",""
"Cysteine (Cys, C)",Sulfur-containing amino acid,"A polar amino acid with a thiol group.","Forms disulfide bonds.",""
