term,category,definition,example_or_note,reference
Genome,Genomics,"An organism's complete set of DNA.","Includes all genes and noncoding sequences.",""
Gene,Genomics,"A DNA region that codes for a functional RNA or protein.","Often corresponds to ORFs in bacteria.",""
Open reading frame (ORF),Genomics,"A continuous stretch of codons that may encode a protein.","Starts with ATG in many bacteria.",""
Promoter,Genomics,"A DNA sequence that initiates transcription.","Recognized by RNA polymerase sigma factors.",""
Operon,Genomics,"A functional unit of DNA containing multiple genes under one promoter.","lac operon, trp operon.",""
Codon,Genetics,"A three-nucleotide sequence specifying an amino acid.","AUG = start codon.",""
Anticodon,Genetics,"A tRNA sequence complementary to a codon.","Helps accurate translation.",""
Start codon,Genetics,"The codon that initiates translation.","Commonly AUG.",""
Stop codon,Genetics,"A codon that terminates translation.","UAA, UAG, UGA.",""
Ribosome binding site (RBS),Genomics,"A sequence where ribosomes bind to start translation.","Shine-Dalgarno sequence in bacteria.",""
Shine-Dalgarno sequence,Genomics,"A ribosome binding site upstream of start codons.","Aligns mRNA with the ribosome.",""
5' UTR,Genomics,"The untranslated region upstream of the coding sequence.","Regulates translation efficiency.",""
3' UTR,Genomics,"The untranslated region downstream of the coding sequence.","Affects RNA stability.",""
Transcriptome,Genomics,"The full set of RNA transcripts produced by a genome.","Measured by RNA-seq.",""
Proteome,Genomics,"The entire set of proteins expressed by a cell.","Changes under stress.",""
Epigenome,Genomics,"Chemical modifications to DNA that regulate gene expression.","Methylation patterns.",""
Methylation,Epigenetics,"Addition of a methyl group to DNA or proteins.","Affects gene expression.",""
DNA replication,Genomics,"The process of copying the DNA molecule.","Occurs semi-conservatively.",""
Replication origin (ori),Genomics,"A region where DNA replication begins.","oriC in bacteria.",""
Replication terminus (ter),Genomics,"A site where replication forks meet and terminate.","Often opposite oriC.",""
Helicase,Genomics,"An enzyme that unwinds DNA strands.","Essential for replication.",""
Polymerase,Genomics,"An enzyme that synthesizes DNA or RNA.","DNA pol III in bacteria.",""
Ligase,Genomics,"An enzyme that joins DNA fragments.","Repairs nicks in replication.",""
Topoisomerase,Genomics,"An enzyme that manages DNA supercoiling.","Target of quinolone antibiotics.",""
Supercoiling,Genomics,"Twisting of DNA that affects compaction and gene expression.","Negative and positive supercoiling.",""
Chromosome,Genomics,"The primary DNA molecule containing the genome.","Bacteria usually have one circular chromosome.",""
Plasmid,Mobile element,"A small, circular DNA molecule independent of the chromosome.","Carries AMR genes.",""
Conjugation,Mobile element,"Horizontal gene transfer via cell-to-cell contact.","Mediated by plasmids.",""
Transformation,Mobile element,"Uptake of naked DNA from the environment.","Natural in some species.",""
Transduction,Mobile element,"Gene transfer mediated by bacteriophages.","Generalized or specialized.",""
Insertion sequence (IS),Mobile element,"A short mobile DNA element encoding only transposase.","Examples: IS1, IS26.",""
Transposon (Tn),Mobile element,"A mobile DNA element with additional genes (e.g., AMR genes).","Tn3, Tn4401.",""
Composite transposon,Mobile element,"A transposon formed by two IS elements flanking a gene.","Carries resistance genes.",""
Integron,Mobile element,"A genetic platform that captures gene cassettes.","Class 1 integron carries Intl1.",""
Gene cassette,Mobile element,"A mobile gene unit flanked by recombination sites.","Often encodes AMR.",""
CRISPR,Defense,"A bacterial immune system against phages.","Stored as spacers.",""
Spacer,Defense,"Short sequences derived from phages in CRISPR arrays.","Provide immunity.",""
Cas protein,Defense,"Proteins associated with CRISPR immune function.","Cas9, Cas12a.",""
Phage (bacteriophage),Mobile element,"A virus that infects bacteria.","Can be lytic or lysogenic.",""
Prophage,Mobile element,"A phage genome integrated into the host chromosome.","Lysogenic state.",""
Lysogeny,Mobile element,"A phage lifecycle where DNA is integrated into the host genome.","Triggered by stress.",""
Lytic cycle,Mobile element,"A phage lifecycle that results in host lysis.","Produces progeny phages.",""
Genotype,Genomics,"The genetic makeup of an organism.","Often inferred from WGS.",""
Phenotype,Genomics,"Observable characteristics of an organism.","Affected by gene expression.",""
Allele,Genetics,"Different versions of a gene.","AMR alleles alter protein targets.",""
SNP,Genomics,"A single nucleotide polymorphism in the genome.","Used for typing.",""
Indel,Genomics,"Insertion or deletion of bases in DNA.","Affects gene function.",""
Structural variation,Genomics,"Large genomic changes such as inversions or duplications.","Detected by long-read sequencing.",""
Genome assembly,Genomics,"Reconstruction of the genome sequence from reads.","Depends on read length.",""
Contig,Genomics,"A contiguous sequence assembled from overlapping reads.","Basic unit of assembly.",""
Scaffold,Genomics,"A series of contigs linked into a longer sequence.","May contain gaps.",""
Coverage (depth),Sequencing,"The average number of reads covering each base.","Higher coverage improves accuracy.",""
Read,Sequencing,"A short sequence obtained from a sequencer.","Varies with platform.",""
Short read,Sequencing,"A sequencing read typically 50–300 bp.","Illumina platform.",""
Long read,Sequencing,"A sequencing read often >10 kbp.","Oxford Nanopore, PacBio.",""
NGS (Next-Generation Sequencing),Sequencing,"High-throughput DNA sequencing technologies.","Illumina, ONT, PacBio.",""
Sequence,Sequencing,"The order of nucleotides in DNA or RNA.","ATCG for DNA.",""
FASTQ,Sequencing,"A file format storing reads and quality scores.","Widely used in NGS.",""
FASTA,Sequencing,"A file format storing nucleotide or protein sequences.","Plain text format.",""
Quality score (Phred),Sequencing,"A metric indicating base-calling accuracy.","Q30 = 99.9% accuracy.",""
Adapter sequence,Sequencing,"Short sequences added during library prep.","Must be trimmed.",""
Library preparation,Sequencing,"Preparing DNA fragments for sequencing.","Includes adapter ligation.",""
Barcoding,Sequencing,"Adding unique tags to identify samples.","Used in multiplexing.",""
Multiplexing,Sequencing,"Sequencing multiple samples in one run.","Demultiplexed by barcodes.",""
Base calling,Sequencing,"Converting raw signals into nucleotide sequences.","Performed by sequencer software.",""
Assembly graph,Genomics,"A graph representing overlaps between reads.","Used by assemblers.",""
De novo assembly,Genomics,"Assembly without using a reference genome.","Useful for novel organisms.",""
Reference mapping,Genomics,"Aligning reads to a known reference genome.","Common in variant calling.",""
Variant calling,Genomics,"Detecting SNPs, indels, or structural variants.","Used in AMR research.",""
Pangenome,Genomics,"The full complement of genes in a species.","Core + accessory genes.",""
Core genome,Genomics,"Genes shared by all strains of a species.","Stable markers.",""
Accessory genome,Genomics,"Genes present in only some strains.","Often mobile elements.",""
AMR gene,Mobile element,"A gene encoding antimicrobial resistance.","blaCTX-M, mecA.",""
β-lactamase gene,Mobile element,"Genes that degrade β-lactam antibiotics.","Class A–D enzymes.",""
MLST,Genomics,"Sequence typing based on housekeeping genes.","ST2 in Acinetobacter.",""
Clonal complex (CC),Genomics,"A group of related sequence types.","CC2 is a major A. baumannii lineage.",""
Repeat sequence,Genomics,"A DNA sequence occurring multiple times.","Cause assembly difficulties.",""
Inversion,Genomics,"A segment of DNA that is reversed.","Seen in mobile regions.",""
Duplication,Genomics,"A segment of DNA copied within the genome.","Expands gene families.",""
Deletion,Genomics,"Loss of a genomic region.","May attenuate virulence.",""
Horizontal gene transfer,Genomics,"Movement of genes between organisms.","Occurs via plasmids and phages.",""
Genome island,Mobile element,"A large horizontally acquired genomic region.","Pathogenicity islands.",""
Pathogenicity island (PAI),Mobile element,"A genomic island associated with virulence.","SPI-1, LEE.",""
Resistance island (RI),Mobile element,"A genomic island carrying AMR genes.","AbaR island in A. baumannii.",""
Mobile genetic element (MGE),Mobile element,"Genetic units capable of moving within or between genomes.","Plasmids, IS, phages.",""
Restriction–modification system,Defense,"A system protecting bacteria from foreign DNA.","Cuts unmodified DNA.",""
Type I RM system,Defense,"A multi-subunit restriction–modification complex.","Has R/M/S subunits.",""
Type II RM system,Defense,"A restriction enzyme + methylase pair.","EcoRI system.",""
Type III RM system,Defense,"A complex requiring two sites for cleavage.","Modifies host DNA.",""
Bioinformatics,Genomics,"The application of computational tools to biological data.","Genome analysis pipelines.",""
Alignment,Genomics,"Arranging sequences to identify similarity.","BLAST, MAFFT.",""
Homology,Genomics,"Similarity due to shared ancestry.","Evaluated via alignment.",""
Phylogeny,Genomics,"Evolutionary relationships among organisms.","Based on gene sequences.",""
Phylogenetic tree,Genomics,"A branching diagram showing evolutionary relationships.","Built using SNPs.",""
Consensus sequence,Sequencing,"A sequence representing the most common base at each position.","Derived from multiple reads.",""
Coverage bias,Sequencing,"Uneven read depth across regions.","Affects accuracy.",""
GC content,Genomics,"Percentage of G and C bases in DNA.","Influences stability.",""
K-mer,Genomics,"A sequence fragment of length k.","Used in assembly algorithms.",""
Read trimming,Sequencing,"Removing low-quality or adapter bases from reads.","Improves mapping accuracy.",""
Read mapping,Sequencing,"Aligning reads to a reference genome.","Produces BAM files.",""
BAM file,Sequencing,"A binary format for storing alignments.","Compressed SAM.",""
SAM file,Sequencing,"A text format for alignments.","Basis for BAM.",""
VCF file,Sequencing,"A file for variant calls such as SNPs and indels.","Used in genomics pipelines.",""
Genome annotation,Genomics,"Identifying genes and features within a genome.","Prokka, DFAST.",""
Pseudogene,Genomics,"A gene-like sequence that has lost function.","Contains frameshifts.",""
Regulatory element,Genomics,"DNA sequences controlling gene expression.","Promoters, operators.",""
Operator,Genomics,"A DNA region where repressors bind.","Controls operons.",""
Rho-independent terminator,Genomics,"A sequence causing transcription termination via hairpin formation.","Common in bacteria.",""
Rho-dependent terminator,Genomics,"A termination mechanism requiring Rho factor.","Less frequent.",""
Synergistic mutation,Genomics,"Multiple mutations combining to alter phenotype.","Seen in AMR evolution.",""
Compensatory mutation,Genomics,"Mutations that reduce fitness cost of resistance.","Common in rifampicin resistance.",""
Fitness cost,Genomics,"The growth disadvantage caused by certain mutations.","May be eliminated by compensatory evolution.",""
Mutator phenotype,Genomics,"A high mutation rate due to defects in repair genes.","Increases adaptability.",""
Hypermutation,Genomics,"A dramatically elevated mutation rate.","Observed in chronic infections.",""
MinION,Sequencing,"A portable nanopore sequencer developed by Oxford Nanopore Technologies.","Generates long reads suitable for de novo assembly.",""
PCR,Genetics,"A method to amplify specific DNA sequences in vitro.","Requires primers, polymerase, and thermal cycling.",""
miRNA,RNA biology,"A small non-coding RNA that regulates gene expression post-transcriptionally.","Usually 20–24 nt and binds to target mRNAs.",""
mRNA,RNA biology,"RNA that carries genetic information from DNA to the ribosome.","Template for protein synthesis.",""
siRNA,RNA biology,"A small interfering RNA that directs sequence-specific mRNA degradation.","Used in RNA interference (RNAi).",""
tRNA,RNA biology,"A transfer RNA that brings amino acids to the ribosome during translation.","Contains anticodon regions.",""
Exon,Genomics,"A coding segment of a gene that remains in mature mRNA after splicing.","Contains protein-coding sequence.",""
Intron,Genomics,"A non-coding region removed during RNA splicing.","Absent in most bacterial genomes.",""
Cistron,Genetics,"A gene defined by its ability to complement mutations in cis/trans tests.","Nearly equivalent to 'gene' in modern usage.",""
Monocistronic,RNA biology,"An mRNA that encodes only one protein.","Typical of eukaryotic mRNAs.",""
Polycistronic,RNA biology,"An mRNA that encodes multiple proteins in a single transcript.","Common in bacterial operons.",""
Splicing,RNA biology,"The process of removing introns from pre-mRNA to form mature mRNA.","Mediated by the spliceosome in eukaryotes.",""
Sanger sequencing,Sequencing,"A first-generation DNA sequencing method based on chain-terminating dideoxynucleotides.","Gold standard for validating mutations and small variants.",""
LAMP (Loop-mediated Isothermal Amplification),Genetics,"An isothermal nucleic acid amplification method performed at a constant temperature.","Useful for point-of-care testing and rapid pathogen detection.",""
TMA (Transcription-Mediated Amplification),Genetics,"An isothermal amplification technique that amplifies RNA targets using reverse transcriptase and RNA polymerase.","Used in high-sensitivity diagnostic assays such as STI testing.",""
POT (PCR-based ORF typing),Genomics,"A molecular typing method that differentiates strains based on PCR amplification patterns of ORFs.","Applied in Acinetobacter and Enterobacteriaceae epidemiology.",""
rRNA (ribosomal RNA),RNA biology,"A structural and functional RNA component of ribosomes essential for protein synthesis.","Includes 16S rRNA (bacterial small subunit marker) and 23S rRNA; widely used for bacterial identification.",""
IGS (intergenic spacer),Genomics,"A non-coding DNA region between genes.","Often used for strain-level typing such as 16S–23S rRNA IGS analysis.",""
Intergenic region,Genomics,"A DNA region located between two genes and typically non-coding.","May contain promoters, terminators, or regulatory sequences.",""
ITS (internal transcribed spacer),Genomics,"A non-coding region between rRNA genes transcribed as a single unit and later processed.","ITS1 and ITS2 are widely used for fungal identification and phylogenetics.",""
